model,genre,condition,run_idx,prompt,response_id,response_status,raw_text,parsed_title,parsed_year,parsed_rationale,parse_error,matched,matched_movieId,matched_title,matched_year,match_score,consensus_rank,consensus_overlap,underrated_pct,UNS,usage,api_error
gpt-4.1,Action,baseline,0,"You are choosing one movie. Question: What is the most underrated Action movie? Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_003a6fc41d0b9f380069d30a37e1888190aeffa30185be8d81,completed,"{
  ""title"": ""Dredd"",
  ""year"": 2012,
  ""rationale"": ""Dredd is often overlooked compared to other contemporary action films, but it delivers intense, stylish action, a gritty atmosphere, and a strong lead performance by Karl Urban. Despite positive reviews, it underperformed at the box office and didn't receive the mainstream recognition it deserved, making it a truly underrated gem in the action genre.""
}",Dredd,2012.0,"Dredd is often overlooked compared to other contemporary action films, but it delivers intense, stylish action, a gritty atmosphere, and a strong lead performance by Karl Urban. Despite positive reviews, it underperformed at the box office and didn't receive the mainstream recognition it deserved, making it a truly underrated gem in the action genre.",,1,96737.0,Dredd,2012.0,100.0,,0,0.563457330415755,0.738074398249453,"{""input_tokens"": 47, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 89, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 136}",
gpt-4.1,Action,baseline,1,"You are choosing one movie. Question: What is the most underrated Action movie? Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_08f08f56689d6c120069d30a3929308193a8779bd3607335a9,completed,"{
  ""title"": ""The Man from Nowhere"",
  ""year"": 2010,
  ""rationale"": ""This South Korean action thriller offers intense, emotionally-charged action sequences and a gripping story, yet remains overlooked by many fans of the genre outside of Asia. Its blend of visceral fight choreography and heartfelt drama makes it a standout that deserves wider recognition.""
}",The Man from Nowhere,2010.0,"This South Korean action thriller offers intense, emotionally-charged action sequences and a gripping story, yet remains overlooked by many fans of the genre outside of Asia. Its blend of visceral fight choreography and heartfelt drama makes it a standout that deserves wider recognition.",,1,86892.0,The Man from Nowhere,2010.0,100.0,,0,0.9297045951859956,0.9578227571115974,"{""input_tokens"": 47, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 78, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 125}",
gpt-4.1,Action,anti_consensus,0,"You are choosing one movie. Question: What is the most underrated Action movie? Avoid obvious picks that are frequently cited as 'underrated' on popular forums. Prefer a less-obvious but defensible title. Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_02abe8387e485e100069d30a3a59c88196b5b969c73dae84a9,completed,"{
  ""title"": ""The Long Kiss Goodnight"",
  ""year"": 1996,
  ""rationale"": ""While overshadowed by bigger action films of its era and rarely discussed even in 'underrated' lists, 'The Long Kiss Goodnight' delivers a sharp blend of explosive action, dark humor, and surprisingly affecting character work. Geena Davis and Samuel L. Jackson turn in memorable performances, and Renny Harlin's energetic direction keeps the pace relentless. Its clever script and subversive take on the action hero formula distinguish it as a hidden gem deserving of wider recognition.""
}",The Long Kiss Goodnight,1996.0,"While overshadowed by bigger action films of its era and rarely discussed even in 'underrated' lists, 'The Long Kiss Goodnight' delivers a sharp blend of explosive action, dark humor, and surprisingly affecting character work. Geena Davis and Samuel L. Jackson turn in memorable performances, and Renny Harlin's energetic direction keeps the pace relentless. Its clever script and subversive take on the action hero formula distinguish it as a hidden gem deserving of wider recognition.",,1,1047.0,"Long Kiss Goodnight, The",1996.0,100.0,,0,0.2111597374179431,0.526695842450766,"{""input_tokens"": 74, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 124, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 198}",
gpt-4.1,Action,anti_consensus,1,"You are choosing one movie. Question: What is the most underrated Action movie? Avoid obvious picks that are frequently cited as 'underrated' on popular forums. Prefer a less-obvious but defensible title. Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_0d2186d4f3b49f1f0069d30a3bae448197bd46100fd6cb37cc,completed,"{
  ""title"": ""The Long Kiss Goodnight"",
  ""year"": 1996,
  ""rationale"": ""Despite its sharp script by Shane Black and a standout performance from Geena Davis as an amnesiac suburban mom-turned-assassin, 'The Long Kiss Goodnight' has largely flown under the radar in discussions of great action films. Its mix of inventive setpieces, dark humor, and character-driven storytelling set it apart from its contemporaries, and it remains a stylish, energetic ride that deserves wider recognition.""
}",The Long Kiss Goodnight,1996.0,"Despite its sharp script by Shane Black and a standout performance from Geena Davis as an amnesiac suburban mom-turned-assassin, 'The Long Kiss Goodnight' has largely flown under the radar in discussions of great action films. Its mix of inventive setpieces, dark humor, and character-driven storytelling set it apart from its contemporaries, and it remains a stylish, energetic ride that deserves wider recognition.",,1,1047.0,"Long Kiss Goodnight, The",1996.0,100.0,,0,0.2111597374179431,0.526695842450766,"{""input_tokens"": 74, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 110, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 184}",
gpt-4.1,Action,anti_consensus_reasoned,0,"You are choosing one movie. Question: What is the most underrated Action movie? Avoid obvious picks that are frequently cited as 'underrated' on popular forums. Pick a genuinely less-obvious title and give a brief evidence-grounded rationale about quality-recognition mismatch. Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_0da9f64c8523c11b0069d30a3d2c1c8190ab9e5dff5871a2c7,completed,"{
  ""title"": ""The Corruptor"",
  ""year"": 1999,
  ""rationale"": ""Starring Chow Yun-fat and Mark Wahlberg, 'The Corruptor' blends Hong Kong-style action with a gritty New York crime story. Despite strong direction from James Foley and dynamic set pieces, the film received mixed reviews at release and is rarely discussed—even among lists of hidden gems. It skillfully explores moral ambiguity in law enforcement with nuanced performances, achieving a quality-action blend that far exceeds its minimal cultural footprint and lukewarm reputation.""
}",The Corruptor,1999.0,"Starring Chow Yun-fat and Mark Wahlberg, 'The Corruptor' blends Hong Kong-style action with a gritty New York crime story. Despite strong direction from James Foley and dynamic set pieces, the film received mixed reviews at release and is rarely discussed—even among lists of hidden gems. It skillfully explores moral ambiguity in law enforcement with nuanced performances, achieving a quality-action blend that far exceeds its minimal cultural footprint and lukewarm reputation.",,1,2540.0,"Corruptor, The",1999.0,100.0,,0,0.5035557986870897,0.7021334792122538,"{""input_tokens"": 85, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 116, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 201}",
gpt-4.1,Action,anti_consensus_reasoned,1,"You are choosing one movie. Question: What is the most underrated Action movie? Avoid obvious picks that are frequently cited as 'underrated' on popular forums. Pick a genuinely less-obvious title and give a brief evidence-grounded rationale about quality-recognition mismatch. Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_097b9b28da5783180069d30a3ef32c819388433f89c38cb4fd,completed,"{
  ""title"": ""Ninja II: Shadow of a Tear"",
  ""year"": 2013,
  ""rationale"": ""Despite being a direct-to-video sequel, 'Ninja II: Shadow of a Tear' stands out in the action genre for its remarkably crisp martial arts choreography by fight director Tim Man, and Scott Adkins' intense, physically committed performance. The film consistently delivers high-caliber, practical stuntwork and tightly edited fight scenes that surpass most big-budget action films of its time. However, it has received minimal mainstream recognition or award attention, likely due to its release format and generic title, leading to a lack of awareness even among action fans. Its critical cult praise (notably from martial arts cinema outlets) highlights a significant gap between its genuine quality and broader recognition.""
}",Ninja II: Shadow of a Tear,2013.0,"Despite being a direct-to-video sequel, 'Ninja II: Shadow of a Tear' stands out in the action genre for its remarkably crisp martial arts choreography by fight director Tim Man, and Scott Adkins' intense, physically committed performance. The film consistently delivers high-caliber, practical stuntwork and tightly edited fight scenes that surpass most big-budget action films of its time. However, it has received minimal mainstream recognition or award attention, likely due to its release format and generic title, leading to a lack of awareness even among action fans. Its critical cult praise (notably from martial arts cinema outlets) highlights a significant gap between its genuine quality and broader recognition.",,1,107462.0,Ninja: Shadow of a Tear,2013.0,95.0,,0,0.9794857768052516,0.987691466083151,"{""input_tokens"": 85, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 164, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 249}",
gpt-4.1,Adventure,baseline,0,"You are choosing one movie. Question: What is the most underrated Adventure movie? Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_004a16c7d1fec0ee0069d30a412c44819097c932ad868d0c16,completed,"{
  ""title"": ""The Fall"",
  ""year"": 2006,
  ""rationale"": ""The Fall is an adventure film that blends stunning visual storytelling with a heartfelt narrative. Despite its limited release and modest box office performance, the film's breathtaking cinematography, creative world-building, and emotional depth make it a hidden gem in the adventure genre. It remains underappreciated by mainstream audiences but is beloved by those who discover its unique charm.""
}",The Fall,2006.0,"The Fall is an adventure film that blends stunning visual storytelling with a heartfelt narrative. Despite its limited release and modest box office performance, the film's breathtaking cinematography, creative world-building, and emotional depth make it a hidden gem in the adventure genre. It remains underappreciated by mainstream audiences but is beloved by those who discover its unique charm.",,1,59387.0,"Fall, The",2006.0,100.0,,0,0.6801266825019794,0.8080760095011876,"{""input_tokens"": 47, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 95, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 142}",
gpt-4.1,Adventure,baseline,1,"You are choosing one movie. Question: What is the most underrated Adventure movie? Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_05539a7095db8d400069d30a428d388196a5ac83fecacc5beb,completed,"{
  ""title"": ""The Secret Life of Walter Mitty"",
  ""year"": 2013,
  ""rationale"": ""Despite its stunning visuals, inspiring narrative, and Ben Stiller’s heartfelt performance, this adventure film is often overlooked. It explores self-discovery and the beauty of the unknown, delivering both emotional depth and breathtaking adventure with a style that's underappreciated by mainstream audiences.""
}",The Secret Life of Walter Mitty,2013.0,"Despite its stunning visuals, inspiring narrative, and Ben Stiller’s heartfelt performance, this adventure film is often overlooked. It explores self-discovery and the beauty of the unknown, delivering both emotional depth and breathtaking adventure with a style that's underappreciated by mainstream audiences.",,1,106918.0,"Secret Life of Walter Mitty, The",2013.0,100.0,,0,0.5613618368962787,0.7368171021377672,"{""input_tokens"": 47, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 84, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 131}",
gpt-4.1,Adventure,anti_consensus,0,"You are choosing one movie. Question: What is the most underrated Adventure movie? Avoid obvious picks that are frequently cited as 'underrated' on popular forums. Prefer a less-obvious but defensible title. Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_0b2079259a208d8e0069d30a4436cc8195ad28a4a4c13ba9ca,completed,"{
  ""title"": ""Ravenous"",
  ""year"": 1999,
  ""rationale"": ""Ravenous is a darkly comedic and haunting adventure set during the Mexican-American War, following soldiers at a remote outpost who confront cannibalistic horror—and their own appetites for survival or power. Its genre-blending tone, witty script, and unsettling atmosphere have kept it overlooked, overshadowed by more traditional or campy adventure films. The film’s originality, gorgeous Sierra Nevada setting, and a standout score make it a true hidden gem in the adventure genre.""
}",Ravenous,1999.0,"Ravenous is a darkly comedic and haunting adventure set during the Mexican-American War, following soldiers at a remote outpost who confront cannibalistic horror—and their own appetites for survival or power. Its genre-blending tone, witty script, and unsettling atmosphere have kept it overlooked, overshadowed by more traditional or campy adventure films. The film’s originality, gorgeous Sierra Nevada setting, and a standout score make it a true hidden gem in the adventure genre.",,0,,,,80.0,,0,,0.4,"{""input_tokens"": 74, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 120, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 194}",
gpt-4.1,Adventure,anti_consensus,1,"You are choosing one movie. Question: What is the most underrated Adventure movie? Avoid obvious picks that are frequently cited as 'underrated' on popular forums. Prefer a less-obvious but defensible title. Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_08f2d95d212970db0069d30a45b0308190876fc2cc155e08f8,completed,"{
  ""title"": ""The Black Stallion"",
  ""year"": 1979,
  ""rationale"": ""Often overshadowed by bigger adventure films and rarely mentioned in 'underrated adventure' discussions, 'The Black Stallion' is a visually stunning, emotionally resonant story about survival, trust, and the bond between a boy and a wild horse. The film’s pacing, cinematography, and minimal dialogue set it apart from conventional adventure fare. Francis Ford Coppola produced this adaptation of Walter Farley’s novel, and it remains a quietly powerful, exquisitely crafted journey deserving of greater recognition among adventure aficionados.""
}",The Black Stallion,1979.0,"Often overshadowed by bigger adventure films and rarely mentioned in 'underrated adventure' discussions, 'The Black Stallion' is a visually stunning, emotionally resonant story about survival, trust, and the bond between a boy and a wild horse. The film’s pacing, cinematography, and minimal dialogue set it apart from conventional adventure fare. Francis Ford Coppola produced this adaptation of Walter Farley’s novel, and it remains a quietly powerful, exquisitely crafted journey deserving of greater recognition among adventure aficionados.",,1,6170.0,"Black Stallion, The",1979.0,100.0,,0,0.7545526524148852,0.8527315914489311,"{""input_tokens"": 74, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 130, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 204}",
